,opening_gross,screens,production_budget,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score
808,49451322.0,4253.0,145000000.0,616102924.0,2014.0,2.35,102.0,23378.0,145000000.0,7.9
809,43732319.0,4055.0,165000000.0,494870991.0,2010.0,2.35,98.0,20453.0,165000000.0,8.2
810,11364505.0,1277.0,180000000.0,180047784.0,2011.0,1.85,126.0,36017.0,170000000.0,7.5
811,62128420.0,3660.0,137000000.0,245229234.0,2003.0,1.85,138.0,1814.0,137000000.0,5.7
812,77211321.0,3606.0,150000000.0,585532684.0,2007.0,2.35,104.0,13076.0,150000000.0,7.2
813,22755854.0,3.0,50000000.0,146195159.0,2011.0,1.85,109.0,15608.0,60000000.0,6.1
814,25993.0,1.0,22000000.0,92542418.0,2001.0,1.85,132.0,3152.0,22000000.0,7.6
815,23446785.0,2255.0,19000000.0,51733921.0,2009.0,1.85,113.0,1465.0,13000000.0,4.1
816,4402201.0,2476.0,24000000.0,24474463.0,2011.0,1.85,89.0,5470.0,24000000.0,4.9
817,2411445.0,2112.0,34000000.0,6543194.0,2000.0,2.35,114.0,1778.0,34000000.0,5.6
818,292177.0,4.0,22000000.0,20034713.0,2004.0,2.35,107.0,8094.0,22000000.0,6.7
819,15818645.0,2524.0,17000000.0,125250091.0,1997.0,2.35,99.0,50284.0,17000000.0,5.6
820,112520.0,6.0,13000000.0,23014027.0,2009.0,1.85,102.0,931.0,13000000.0,6.6
821,4919433.0,1858.0,18000000.0,16382538.0,2009.0,1.85,102.0,4072.0,18000000.0,5.3
822,17810270.0,2711.0,40000000.0,91729503.0,2009.0,1.85,105.0,28928.0,40000000.0,7.1
823,16520038.0,2443.0,24000000.0,40020622.0,1998.0,2.35,100.0,49847.0,24000000.0,4.6
824,5674802.0,1776.0,14000000.0,13205411.0,2007.0,1.85,94.0,13446.0,60214958.65377698,5.5
825,730819.0,130.0,20000000.0,12397613.0,2007.0,2.35,135.0,36398.0,20000000.0,7.0
826,52179887.0,3420.0,105000000.0,348629585.0,2004.0,2.35,115.0,12068.0,120000000.0,7.1
827,46629259.0,3881.0,95000000.0,879765137.0,2012.0,2.35,88.0,25354.0,95000000.0,6.6
828,41690382.0,4099.0,90000000.0,859701857.0,2009.0,1.85,94.0,1258.0,90000000.0,7.0
829,68033544.0,2244.4561008554706,75000000.0,651899282.0,2006.0,1.85,115.0,1815.0,80000000.0,6.9
830,46312454.0,3316.0,65000000.0,386116343.0,2002.0,1.85,103.0,5437.0,59000000.0,7.6
831,6807471.0,2501.0,25000000.0,25732334.0,2005.0,1.85,98.0,235.0,60214958.65377698,6.0
832,34551025.0,3141.0,35000000.0,175361578.0,2013.0,2.35,120.0,5826.0,35000000.0,5.7
833,16225263.0,2733.0,28000000.0,82183683.0,2003.0,2.35,91.0,3969.0,30000000.0,7.3
834,1807181.0,1611.0,15000000.0,4023741.0,1999.0,1.85,92.0,3654.0,20000000.0,6.2
835,5745780.0,973.0,15000000.0,12669914.0,2006.0,2.35,121.0,3633.0,15000000.0,6.2
836,15679190.0,2907.0,11000000.0,78356170.0,2014.0,2.35,107.0,20466.0,11000000.0,6.8
837,5503519.0,3008.0,55000000.0,16123323.0,2009.0,2.35,107.0,3742.0,55000000.0,5.6
838,32206425.0,3112.0,75000000.0,211562435.0,2011.0,1.85,110.0,16691.0,75000000.0,6.1
839,3022523.0,1870.0,40000000.0,7974607.0,2001.0,1.85,102.0,2664.0,40000000.0,6.2
840,15019821.0,1992.0,35000000.0,83226569.0,1997.0,1.85,90.0,23504.0,35000000.0,6.3
841,457227.0,28.0,15000000.0,34533783.0,2008.0,2.35,107.0,173.0,15000000.0,8.0
842,4593872.0,1670.0,30000000.0,12017369.0,1999.0,1.85,100.0,22006.0,30000000.0,5.5
843,151750.0,3.0,26000000.0,63489752.0,2004.0,1.85,109.0,28493.0,26000000.0,6.5
844,97625.0,6.0,12000000.0,23693646.0,2003.0,1.85,113.0,1171.0,12000000.0,5.3
845,9479.0,2.0,13000000.0,509193.0,2011.0,2.35,127.0,796.0,13000000.0,4.3
846,4712341.0,2155.0,10500000.0,14140402.0,2007.0,2.35,97.0,20312.0,10000000.0,6.5
847,2984524.0,1632.0,60000000.0,13075656.0,2007.0,2.35,156.0,26564.0,60000000.0,3.8
848,133557.0,9.0,23000000.0,24489150.0,2007.0,2.35,121.0,24248.0,60214958.65377698,7.2
849,12050368.0,3122.0,35000000.0,165103952.0,2011.0,2.35,109.0,34011.0,40000000.0,6.7
850,41039944.0,4068.0,165000000.0,379262220.0,2016.0,2.35,120.0,3233.0,165000000.0,5.5
851,50228264.0,2.0,75000000.0,817400878.0,1996.0,2.35,154.0,16785.0,75000000.0,6.9
852,126917373.0,4260.0,185000000.0,786558145.0,2008.0,2.35,122.0,14959.0,185000000.0,6.2
853,452966.0,179.0,13000000.0,2613717.0,2006.0,1.85,118.0,3474.0,13000000.0,7.1
854,2773260.0,645.0,20000000.0,8692898.0,2014.0,1.85,148.0,707.0,20000000.0,6.7
855,7601379.0,2655.0,60000000.0,66655938.0,2008.0,2.35,106.0,5329.0,60000000.0,6.1
856,405411.0,4.0,11000000.0,32943247.0,2013.0,1.85,104.0,4082.0,11000000.0,7.4
857,28954945.0,2818.0,50000000.0,185798265.0,2006.0,2.35,129.0,19148.0,45000000.0,7.6
858,90440272.0,3946.0,175000000.0,853923085.0,2015.0,1.85,95.0,2944.0,175000000.0,8.3
859,20930169.0,2610.0,46000000.0,113622499.0,2002.0,2.35,118.0,15658.0,46000000.0,7.2
860,21889138.0,2814.0,75000000.0,97387965.0,1999.0,1.85,110.0,5320.0,75000000.0,4.1
861,10390387.0,2059.0,55000000.0,34105207.0,1999.0,2.35,126.0,13406.0,55000000.0,6.5
862,47510360.0,3561.0,165000000.0,665417894.0,2014.0,2.35,169.0,31488.0,165000000.0,8.6
863,7057854.0,2789.0,50000000.0,41982227.0,2005.0,2.35,110.0,25049.0,50000000.0,5.8
864,18015000.0,3434.0,50000000.0,156602194.0,2014.0,1.85,89.0,1367.0,50000000.0,5.8
865,212440.0,4.0,20000000.0,56822960.0,2007.0,2.35,148.0,18752.0,15000000.0,8.2
866,31051923.0,2440.0,50000000.0,203502372.0,2014.0,2.39,125.0,62837.0,50000000.0,6.0
867,12525075.0,2564.0,60000000.0,121327628.0,2003.0,1.85,100.0,1395.0,60000000.0,6.3
868,8611147.0,2125.0,60000000.0,124514011.0,2009.0,2.35,134.0,24458.0,60000000.0,7.4
869,784839.0,103.0,36000000.0,156835197.0,2015.0,2.35,105.0,615.0,36000000.0,7.2
870,128122480.0,4380.0,170000000.0,623561331.0,2010.0,2.35,124.0,48638.0,200000000.0,7.0
871,174144585.0,4253.0,200000000.0,1215392272.0,2013.0,2.35,195.0,30426.0,200000000.0,7.2
872,98618668.0,4105.0,186000000.0,582443126.0,2008.0,2.35,126.0,39252.0,140000000.0,7.9
873,1368705.0,750.0,36000000.0,2954405.0,2000.0,1.85,95.0,2928.0,36000000.0,5.3
874,22100822.0,2887.0,85000000.0,224614744.0,2009.0,1.85,120.0,15226.0,85000000.0,6.6
875,11217324.0,1910.0,35000000.0,84606030.0,2011.0,2.35,137.0,36258.0,35000000.0,6.6
876,25003575.0,3438.0,79000000.0,150519217.0,2011.0,1.85,91.0,27405.0,79000000.0,3.4
877,17200000.0,3387.0,60000000.0,131377412.0,2014.0,2.35,105.0,1411.0,60000000.0,6.2
878,27202226.0,3525.0,195000000.0,197687603.0,2013.0,2.35,114.0,1766.0,195000000.0,6.3
879,50353641.0,3081.0,20000000.0,171685793.0,2010.0,1.78,101.0,1787.0,20000000.0,7.1
880,29002002.0,3059.0,11000000.0,85278712.0,2006.0,1.85,92.0,1853.0,60214958.65377698,7.1
